"National Center for Education Statistics"


"Gender, as of B&B:16/17 interview by Field of study or major (detailed). "

"","Gender, as of B&B:16/17 interview"
"","Male","Female","Transgender: male-to-female","Transgender: female-to-male","Genderqueer or gender nonconforming","A different gender identity","Questioning or unsure","More than one gender","Total"
"","(%)","(%)","(%)","(%)","(%)","(%)","(%)","(%)"
"Engineering","77.435734","74.53 - 80.34","20.864476","18.06 - 23.67","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","0.703279 !","0.02 - 1.39","100%"
"Engineering technologies/technicians","83.120712","73.79 - 92.46","15.773084 !","6.41 - 25.13","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Foreign languages and literatures","18.670383","10.69 - 26.65","81.329617","73.35 - 89.31","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Family, consumer, and human sciences","12.947252","5.93 - 19.97","86.640452","79.58 - 93.70","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Legal professions and studies","36.773993","15.88 - 57.67","63.226007","42.33 - 84.12","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"English language and literature/letters","32.424869","24.55 - 40.30","65.023405","57.17 - 72.88","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","0.433097 !!","-0.08 - 0.95","100%"
"Liberal arts, sciences and humanities","36.329062","26.67 - 45.99","63.305626","53.58 - 73.03","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Library science","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Biological and biomedical sciences","36.905319","33.24 - 40.57","61.047969","57.27 - 64.82","‡","‡","‡","‡","1.122932 !","0.27 - 1.98","‡","‡","0.396632 !!","-0.04 - 0.84","0.459296 !!","-0.04 - 0.96","100%"
"Mathematics and statistics","52.035837","43.18 - 60.89","46.787746","37.94 - 55.63","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Military Technologies","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Multi/interdisciplinary studies","31.739081","24.44 - 39.04","66.508071","58.93 - 74.09","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Parks, recreation, and fitness studies","48.001850","41.44 - 54.56","50.427820","43.81 - 57.05","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","1.570330 !!","-0.65 - 3.79","100%"
"Philosophy and religious studies","59.829430","46.79 - 72.87","36.143324","23.31 - 48.98","‡","‡","‡","‡","3.117191 !!","-0.95 - 7.19","‡","‡","‡","‡","‡","‡","100%"
"Theology and religious vocations","70.019509","57.93 - 82.11","24.333353","12.00 - 36.66","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Physical sciences","61.667022","53.97 - 69.36","37.246974","29.60 - 44.89","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Science technologies/technicians","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Psychology","19.978760","16.75 - 23.20","78.725299","75.57 - 81.88","‡","‡","0.210391 !!","-0.07 - 0.49","0.312361 !!","-0.00 - 0.63","‡","‡","‡","‡","0.392414 !!","-0.08 - 0.86","100%"
"Security and protective services","48.917118","43.38 - 54.46","50.040316","44.58 - 55.50","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","0.366565 !!","-0.28 - 1.02","100%"
"Public administration/social services","24.656860","18.50 - 30.82","73.123191","66.88 - 79.37","‡","‡","‡","‡","1.107848 !!","-0.51 - 2.72","‡","‡","‡","‡","1.112101 !!","-0.37 - 2.59","100%"
"Construction trades","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Mechanic and repair technologies","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Precision production","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Transportation and materials moving","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Visual and performing arts","39.591471","35.66 - 43.52","56.341560","52.43 - 60.25","‡","‡","‡","‡","1.071988 !","0.21 - 1.93","0.036165 !!","-0.01 - 0.08","1.247618 !!","-0.20 - 2.69","1.698632 !","0.48 - 2.92","100%"
"Health professions and related sciences","16.112381","14.17 - 18.06","82.962473","80.91 - 85.01","0.162776 !!","-0.05 - 0.37","‡","‡","0.075139 !!","-0.02 - 0.17","0.102042 !!","-0.08 - 0.29","0.247848 !!","-0.17 - 0.66","0.330279 !","0.06 - 0.60","100%"
"Business, management, and marketing","53.422363","50.78 - 56.07","46.154755","43.52 - 48.79","‡","‡","‡","‡","0.144574 !!","-0.03 - 0.32","‡","‡","‡","‡","0.278309 !!","-0.03 - 0.59","100%"
"History","60.512838","51.99 - 69.04","38.848180","30.28 - 47.42","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Anthropology","21.285037","9.03 - 33.54","76.107989","65.49 - 86.73","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Criminology","32.676703","17.00 - 48.35","67.323297","51.65 - 83.00","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Economics","73.273782","65.83 - 80.72","25.776184","18.37 - 33.18","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","0.950035 !!","-0.23 - 2.13","100%"
"Geography","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"International relations and affairs","51.075116","37.60 - 64.55","48.924885","35.45 - 62.40","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Political science and government","55.041331","47.24 - 62.84","43.257631","35.75 - 50.76","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Sociology","21.586191","15.18 - 27.99","76.689327","70.23 - 83.15","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"
"Social sciences, other","37.855380","19.54 - 56.17","61.274171","42.98 - 79.57","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","‡","100%"

"! Interpret data with caution. Estimate is unstable because the standard error represents more than 30 percent of the estimate."
"!! Interpret data with caution. Estimate is unstable because the standard error represents more than 50 percent of the estimate."
"‡ Reporting standards not met"

"The names of the variables used in this analysis are: B1GENDER and MAJORS. The variable names are unique identifiers. To locate these variables, enter the variable name in the search box."

"The weight variable used in this analysis is WTA000"

"NOTE: Detail may not sum to totals because of rounding."

"Source: U.S. Department of Education, National Center for Education Statistics, Baccalaureate and Beyond: 2016/2020 (B&B)."

"Computation by NCES PowerStats on 3/31/2024 at 01:16:07 UTC."

"The code to retrieve results is mlhlsk"
